Code,Description (English),বর্ণনা,
1162304,Tax on sports competition and other public gathering,ক্রীড়া প্রতিযোগিতা ও অন্যান্য জনসমাগমের ওপর ফিস,
1162305,Tax on entertainment  and recreation,প্রমোদ কর,
1162306,City tax on hotel boarder ,আবাসিক হোটেলে অবস্থানকারীর ওপর নগর কর ,
1162307,Tax on mobile tower,মোবাইল টাওয়ার কর,
12,Social contributions,সামাজিক অবদান,
121,Social security contributions,সামাজিক নিরাপত্তা অবদান,
1211,Employee contributions,কর্মচারীর অবদান,
1212,Employer contributions,নিয়োগকারীর অবদান,
1213,Self-employed or nonemployed contributions,স্বনিয়োজিত অথবা অনিয়োজিতের অবদান,
1214,Unallocable contributions,বরাদ্দহীন অবদান,
122,Other social contributions,অন্যান্য সামাজিক অবদান,
1221,Employee contributions,কর্মচারীর অবদান,
1222,Employer contributions,নিয়োগকারীর অবদান,
1223,Imputed contributions,আরোপিত অবদান,
13,Grants,অনুদান,
131,From foreign governments,বৈদেশিক সরকার থেকে প্রাপ্ত অনুদান,
1311,Current,আবর্তক,
13111,Current,আবর্তক,
1311101,Food aid,খাদ্য সাহায্য,
1311102,Commodity aid,পণ্য সাহায্য,
1311103,Budget support,বাজেট সহায়তা,
1311104,Debt relief grants,ঋণ মওকুফ অনুদান,
1312,Capital,মূলধন,
13121,Capital,মূলধন,
1312101,Food aid,খাদ্য সাহায্য,
1312102,Project aid,প্রকল্প সাহায্য,
132,From international organizations,আন্তর্জাতিক সংগঠন থেকে প্রাপ্ত অনুদান,
1321,Current,আবর্তক,
13211,Current,আবর্তক,
1321101,Food aid,খাদ্য সাহায্য,
1321102,Commodity aid,পণ্য সাহায্য,
1321103,Budget support,বাজেট সহায়তা,
1321104,Debt relief grants,ঋণ মওকুফ অনুদান,
1322,Capital,মূলধন,
13221,Capital,মূলধন,
1322101,Food aid,খাদ্য সাহায্য,
1322102,Project aid,প্রকল্প সাহায্য,
133,From other general government units,অন্যান্য সাধারণ সরকারি প্রতিষ্ঠান থেকে প্রাপ্ত অনুদান,
1331,Current,আবর্তক,
1332,Capital,মূলধন,
134,From Government,,
1341,Current,আবর্তক,
13411,Current,আবর্তক,
1341101,Salary support,বেতন বাবদ সহায়তা,
1341102,Allowance support,ভাতাদি বাবদ সহায়তা,
1341103,Goods and service support,পণ্য ও সেবা বাবদ সহায়তা,
1341104,Pension and retirement benefit support,পেনশন ও অবসর সুবিধা সহায়তা,
1341105,Honourarium Grant,সম্মানী বাবদ সহায়তা,
1341106,Revolving fund grant,ঘূর্ণায়মান তহবিল অনুদান,
1341107,Special grant,বিশেষ অনুদান,
1341108,Research grant,গবেষণা অনুদান,
1341109,Primary health care services grant,প্রাথমিক স্বাস্থ্যসেবা বাবদ সহায়তা,
1341110,Other grant,অন্যান্য অনুদান,
13412,Capital,মূলধন,
1341201,Project grant,প্রকল্প অনুদান,
1341202,Machinery grant,যন্ত্রপাতি বাবদ অনুদান,
1341203,Vehicle grant,গাড়ী বাবদ অনুদান,
1341204,Grant for building and structure,ভবন ও স্থাপনার জন্য অনুদান,
1341205,ICT grant,তথ্য যোগাযোগ প্রযুক্তির জন্য অনুদান,
1341206,Other capital grant,অন্যান্য মূলধন অনুদান,
1341207,Development project support ,উন্নয়ন প্রকল্প সহায়তা,
14,Other revenue,অন্যান্য রাজস্ব,
141,Property income,সম্পত্তি আয়,
1411,Interest,সুদ,
14111,From nonresidents,অনিবাসী থেকে প্রাপ্ত অন্যান্য রাজস্ব,
14112,From residents other than general government,নিবাসী থেকে (সাধারণ সরকারি প্রতিষ্ঠান ব্যতীত) প্রাপ্ত রাজস্ব,
1411201,Interest on loan to autonomous bodies,স্বায়ত্বশাসিত সংস্থাকে প্রদত্ত ঋণের সুদ,
1411202,Interest on loan to government employees,সরকারি কর্মচারীকে প্রদত্ত ঋণের সুদ,
1411203,Interest on foreign loan on lent,পুনর্বিনিয়োগকৃত বৈদেশিক ঋণের সুদ,
1411204,Interest on STD accounts (from residents),স্বল্প মেয়াদি জমার সুদ (নিবাসী থেকে),
1411205,Interest on Investment,বিনিয়োগ হতে প্রাপ্ত সুদ,
14113,From other general government units,অন্যান্য সাধারণ সরকারি প্রতিষ্ঠান থেকে প্রাপ্ত অন্যান্য রাজস্ব,
1411301,Interest on loan to local governments,স্থানীয় সরকার প্রতিষ্ঠানসমূহকে দেয় ঋণের সুদ,
1411302,Interest on foreign loan on lent,পুনর্বিনিয়োগকৃত বৈদেশিক ঋণের সুদ,
1411303,Interest on STD accounts (from general government units),স্বল্প মেয়াদি জমার সুদ (সাধারণ সরকারি ইউনিট থেকে),
14114,Property service charge,সম্পদের সার্ভিস চার্জ,
1411401,Interest free loan service charge,সুদমুক্ত ঋণের সার্ভিস চার্জ,
1412,Dividends,লভ্যাংশ,
14121,From nonresidents,অনিবাসী থেকে প্রাপ্ত অন্যান্য রাজস্ব,
14122,From residents,নিবাসী থেকে প্রাপ্ত,
1412201,Dividends (cash) from financial institutions,আর্থিক প্রতিষ্ঠান থেকে প্রাপ্ত লভ্যাংশ (নগদ),
1412202,Dividends (stock) from  financial institutions,আর্থিক প্রতিষ্ঠান থেকে প্রাপ্ত লভ্যাংশ (স্টক),
1412203,Dividends (cash) from non financial institutions,অআর্থিক প্রতিষ্ঠান থেকে প্রাপ্ত লভ্যাংশ (নগদ),
1412204,Dividends (stock) from non financial institutions,অআর্থিক প্রতিষ্ঠান থেকে প্রাপ্ত লভ্যাংশ (স্টক),
1413,Withdrawals from income of quasi-corporations,কুয়াসি-কর্পোরেশনের আয় থেকে প্রত্যাহার,
14131,Withdrawals from income of quasi-corporations,কুয়াসি-কর্পোরেশনের আয় থেকে প্রত্যাহার,
1413101,Withdrawals from income of quasi-corporations,কুয়াসি-কর্পোরেশনের উদ্বৃত্ত আয়,
1414,Property income from investment income disbursements,বিনিয়োগ আয় বণ্টন হতে প্রাপ্ত সম্পত্তি আয়,
1415,Rent,ভাড়া,
14151,Royalty,রয়্যালটি,
1415101,Royalty from mines and minerals,খনি ও খনিজদ্রব্যের রয়্যালটি,
1415199,Other royalty,অন্যান্য রয়্যালটি,
14152,Lease/rent of non produced assets,অনুৎপাদিত সম্পত্তি ইজারা/ভাড়া,
1415201,Lease of balu mahal,বালুমহাল ইজারা,
1415202,"Lease of water bodies (jal mahal, ponds)",জলমহাল ও পুকুর ইজারা,
1416,Reinvested earnings on foreign direct investment,প্রত্যক্ষ বিদেশি বিনিয়োগের ওপর পুনর্বিনিয়োগকৃত আয়,
142,Sales of goods and services,পণ্য ও সেবা বিক্রয়,
1421,Sales by market establishments,বিপণনযোগ্য প্রতিষ্ঠান কর্তৃক বিক্রয়,
14211,Railway fares and charges,রেল ভাড়া ও চার্জ,
1421101,Passenger fare,যাত্রী ভাড়া,
1421102,Charges from goods,পণ্য পরিবহণ ভাড়া,
1421103,Engine and wagon hire charge,ইঞ্জিন ও ওয়াগন হায়ার চার্জ,
1421104,Rent of catering carriage,ক্যাটারিং ক্যারেজ ভাড়া,
1421105,Parcel,পার্সেল,
1421198,Traffic receipt accounts (Suspense),ট্রাফিক প্রাপ্তি হিসাব (সাসপেন্স),
1421199,Adjustment with total expenditure,সর্বমোট ব্যয়ের সাথে সমন্বয়,
14212,Post office sales and services,ডাক বিভাগের বিক্রয় ও সেবা,
1421201,Sale of stamp,স্ট্যাম্প বিক্রয়,
1421202,Postage realised in cash,নগদ আদায়কৃত ডাক মাশুল,
1421203,Sale of service stamp,সার্ভিস স্ট্যাম্প বিক্রয়,
1421204,Charge of money order and postal order,মানি অর্ডার ও পোস্টাল অর্ডার চার্জ,
1421205,Commission,কমিশন,
1421299,Adjustment with Total Expenditure,সর্বমোট ব্যয়ের সাথে সমন্বয়,
14213,Rentals,ভাড়া,
1421301,Rentals - non residential,ভাড়া- অনাবাসিক,
1421302,Rentals - residential,ভাড়া- আবাসিক,
1421303,Tolls on bridges,সেতুর ওপর টোল,
1421304,Tolls on roads,সড়কের ওপর টোল,
1421305,Tolls on ferry,ফেরির ওপর টোল,
1421306,Seat Rent,সিট ভাড়া,
1421307,Garage rent,গ্যারেজ ভাড়া,
1421308,Rent of optical fiber,অপটিক্যাল ফাইবার ভাড়া,
1421309,Rent of market,মা্কেট/দোকান ভাড়া ,
1421310,Rent of  Machineries and equipment,মেশিন ও সরঞ্জামাদির ভাড়া,
1421311,Rent of Park ,পার্ক হতে আয় ,
1421312,Rent of ambulance,অ্যাম্বুলেন্স ভাড়া ,
1421313,Rent of open space/Community center/hall room,উন্মুক্ত স্থান/ কমিউনিটি সেন্টার/ হলরুম ভাড়া ,
1421399,Other Rents,অন্যান্য ভাড়া ,
1422,Administrative fees,প্রশাসনিক ফিসমূহ,
14221,License fees,লাইসেন্স ফি,
1422101,Firearms trade license fee,আগ্নেয়াস্ত্র ব্যবসা লাইসেন্স ফি,
1422102,Firearms license fee,আগ্নেয়াস্ত্র লাইসেন্স ফি,
1422103,Hotel and restaurant license fee,হোটেল ও রেস্তোঁরা লাইসেন্স ফি,
1422104,Import /export license fee,আমদানি/ রপ্তানি লাইসেন্স ফি,
1422105,Driving license fee,গাড়িচালনা লাইসেন্স ফি,
1422106,Drug license fee,ড্রাগ লাইসেন্স ফি,
1422199,Other license fee,অন্যান্য লাইসেন্স ফি,
14222,Registration fees,নিবন্ধন ফিসমূহ,
1422201,Document registration fee,দলিল নিবন্ধন ফি,
1422202,Firms and companies registration fee,ফার্ম ও কোম্পানি নিবন্ধন ফি,
1422203,Water transport registration fee,নৌযান নিবন্ধন ফি,
1422204,Non-profit organization registration fee,অলাভজনক সংগঠন নিবন্ধন ফি,
1422205,Marriage registration fee,বিবাহ নিবন্ধন ফি,
1422206,Patent and design registration fee,প্যাটেন্ট ও ডিজাইন নিবন্ধন ফি,
1422207,Trademark registration fee,ট্রেডমার্ক নিবন্ধন ফি,
1422209,Motor vehicle registration fee,মোটরযান নিবন্ধন ফি,
1422210,Motor vehicle fitness fee,মোটরযান ফিটনেস ফি,
1422211,Route permit fee,রুট পারমিট ফি,
1422212,Online news portal registration fee,অনলাইন নিউজ পোর্টাল নিবন্ধন ফি,
1422213,Registration fees for reservation of space in gravyard/crematorium,কবরস্থান/শশ্মানঘাটে স্থান সংরক্ষণ ফি,
1422214,Registration of deadbody,মৃতদেহ নিবন্ধন ফি,
14223,Service fees,সেবা ফিসমূহ,
1422301,Fees for the lost items,হারানো পণ্য ফি,
1422302,National Identification card fee,জাতীয় পরিচয়পত্র ফি,
1422303,Police clearance fee,পুলিশ ক্লিয়ারেন্স ফি,
1422304,Lighthouse and shipping services fee,লাইট হাউজ ও নৌপরিবহণ সেবা ফি,
1422305,Admiralty suite fee,এ্যাডমিরালটি স্যুট ফি,
1422306,Copyright fee,কপিরাইট ফি,
1422307,Tuition fee,টিউশন ফি,
1422308,Fee for access for information,তথ্যে অভিগমন ফি,
1422309,Insurance fee,বিমা ফি,
1422310,Visa fee,ভিসা ফি,
1422311,Passport fee,পাসপোর্ট ফি,
1422312,Transfer fee,হস্তান্তর ফি,
1422313,Inspection fee,পরিদর্শন ফি,
1422314,Fees levied under guest control ordinance,অতিথি নিয়ন্ত্রণ-অর্ডিন্যান্সের আওতায় ধার্য ফি,
1422315,Navigation fee,নৌচলাচল ফি,
1422316,Pre-shipment inspection fee,প্রাক-জাহাজিকরণ পরিদর্শন ফি,
1422317,Road development fee,সড়ক উন্নয়ন ফি,
1422318,Survey fee,জরিপ ফি,
1422319,Envirmental clearance fee,পরিবেশগত ছাড়পত্র ফি,
1422320,Mutation fee,নামজারি ও জমাখারিজ ফি,
1422321,Seed certification fee,বীজপ্রত্যায়ন ফি,
1422322,Quarantine certification fee,সংগনিরোধক সনদ ফি,
1422323,Court fee,কোর্ট ফি,
1422324,Audit fee,নিরীক্ষা ফি,
1422325,Engineering service fee,প্রকৌশল সেবা ফি,
1422326,Examination fee,পরীক্ষা ফি,
1422327,Fire service fee,অগ্নিনির্বাপণ সেবা ফি,
1422328,Tender document fee,দরপত্র দলিল ফি,
1422329,Testing fee,টেস্টিং ফি,
1422330,Health and family planning services fee,স্বাস্থ্য ও পরিবার পরিকল্পনা সেবা ফি,
1422331,Consular fee,কনসুলার ফি,
1422332,NOC Fee,এনওসি ফি,
1422333,Anchorage Fee,সৈকতায়ন ফি,
1422334,Cutting Fee,বিভাজন ফি,
1422335,Renewal fee,নবায়ন ফি,
1422336,Fee for permission of use of deep tube well,গভীর নলকূপ ব্যবহারের অনুমোদন ফি,
1422337,Fee for issuing Certificates,সনদপত্র ফি ,
1422338,Fee for water line connection and reconnection,পানির লাইন সংযোগ ও পুনঃসংযোগ ফি,
1422339,Road cutting fee,সড়ক খনন ফি,
1422340,Fee for using library,গ্রন্থাগার ব্যবহার ফি,
1422341,Fee for saughtering,পশু জবাই ফি,
14224,Charges,চার্জসমূহ,
1422401,Survey and settlement charge,সার্ভে ও সেটেলমেন্ট চার্জ,
1422402,Charge for document copying,দলিল নকল চার্জ,
1422403,Electricity charge,বিদ্যুৎ চার্জ,
1422404,Water and sewerage charge,পানি ও পয়ঃনিষ্কাশন ব্যবস্থা চার্জ,
1422405,Service charge,সার্ভিস চার্জ,
1422406,Surcharge on online news portal registration,অনলাইন নিউজ পোর্টাল নিবন্ধনের উপর সারচার্জ,
1422407,Data using charges,ডাটা ব্যবহার চার্জ,
1423,Incidental sales by nonmarket establishments,অবিপণনযোগ্য প্রতিষ্ঠানের সম্ভাব্য বিক্রয়,
14231,Sale of traded food stuff,লেনদেনকৃত খাদ্যদ্রব্য বিক্রয়,
1423101,Sale of rice,চাল বিক্রয়,
1423102,Sale of wheat,গম বিক্রয়,
1423103,Sale of edible oil,ভোজ্য তেল বিক্রয়,
1423104,Sale of corn,ভূট্টা বিক্রয়,
1423105,Sale of other food stuff,অন্যান্য খাদ্যদ্রব্য বিক্রয়,
1423106,Receipt from food subsidy,খাদ্য ভরতুকি হতে প্রাপ্তি,
1423199,Adjustment with Total Expenditure,সর্বমোট ব্যয়ের সাথে সমন্বয়,
14232,Other incidental sales by non- market establishments,অবিপণনযোগ্য প্রতিষ্ঠানের সম্ভাব্য অন্যান্য বিক্রয়,
1423201,Admission fee,ভর্তি ফি,
1423202,Fee for commercial broadcasting services ( sales of advertising times),বাণিজ্যিক সম্প্রচার সেবা ফি (বিজ্ঞাপন সময় বিক্রি বাবদ),
1423203,Receipt incurred from convicted prisoners,কয়েদিদের শ্রমের বিনিময়ে প্রাপ্তি,
1423204,Fee for using government vehicle,সরকারি যানবাহন ব্যবহার ফি,
1423205,Hospital bed charge,হাসপাতালের বিছানার চার্জ,
1423206,Security services charge,নিরাপত্তা সেবা চার্জ,
1423207,UN peacekeeping services charge,জাতিসংঘ শান্তিরক্ষা সেবা চার্জ,
1423208,Fee for uniform,ইউনিফর্ম ফি,
1423209,User fee,ইউজার ফি,
1423210,Charge on vehicle repair in govt. workshop,সরকারি কারখানায় যানবাহন মেরামত চার্জ,
1423211,Irrigation fee,সেচ ফি,
1423212,Sale of agricultural products,কৃষিপণ্য  বিক্রয়,
1423213,Sale of fish and fish products,মৎস্য ও মৎস্যজাত দ্রব্য বিক্রয়,
1423214,Sale of livestock,প্রাণিসম্পদ বিক্রয়,
1423215,Sale of poultry,হাঁস-মুরগি বিক্রয়,
1423216,Sale of arms and ammunitions,অস্ত্র ও গোলাবারুদ বিক্রয়,
1423217,Sale of books and publications,বই ও প্রকাশনা বিক্রয়,
1423218,Sale of dairy products,দুগ্ধজাত দ্রব্য বিক্রয়,
1423219,Sale of products produced in jail,কারাগারে উৎপাদিত দ্রব্য বিক্রয়,
1423220,Sale of judicial stamps,জুডিসিয়াল স্ট্যাম্প বিক্রয়,
1423221,Sale of medicines and vaccines,ঔষধ ও প্রতিষেধক বিক্রয়,
1423222,Sale of hydrogen gas,হাইড্রোজেন গ্যাস বিক্রয়,
1423223,Sale of meteorological data,আবহাওয়া উপাত্ত বিক্রয়,
1423224,Sale of tickets of zoo,চিড়িয়াখানার টিকিট বিক্রয়,
1423225,Sale of paper and stationery,কাগজ ও স্টেশনারি বিক্রয়,
1423226,Sale of used paper and stationery,ব্যবহৃত কাগজ ও স্টেশনারি বিক্রয়,
1423227,Sale of plants and seedlings,উদ্ভিজ্জ ও চারা বিক্রয়,
1423228,Sale of rations,রেশন বিক্রয়,
1423229,Sale of timber,টিম্বার বিক্রয়,
1423230,Artificial insemination charge,কৃত্রিম প্রজনন চার্জ,
1423231,Ambulance charge,এ্যাম্বুলেন্স চার্জ,
1423232,Day care charge,দিবাযত্ন সেবা চার্জ,
1423233,Pathology charge,প্যাথলজি চার্জ,
1423234,Radiological examination charge,রেডিওলজিকেল পরীক্ষা চার্জ,
1423235,sale of cartidge paper,কার্টিজ পেপার বিক্রয়,
1423236,Sale of corrugated sheets,ঢেউটিন বিক্রয়,
1423237,Sale of blanket,কম্বল বিক্রয়,
1423246,Lease of abandoned property,পরিত্যক্ত সম্পত্তি ইজারা,
1423247,Lease of estates,ভূ-সম্পত্তি ইজারা,
1423248,Lease of hats and bazars,হাটবাজার ইজারা,
1423249,Lease of tea garden,চা বাগান ইজারা,
1423250,Lease of acquired properties,অর্জিত সম্পত্তি ইজারা,
1423251,Sale of news/information,সংবাদ/তথ্য বিক্রয়,
1423252,Sale of mouza map,মৌজা ম্যাপ বিক্রয়,
1423253,Sale of forms,,
1423254,Lease of ghat,ঘাট ইজারা,
1423255,Lease terminals,টা্মিনাল ইজারা,
1423256,Lease of public fresh rooms,পাবলিক টয়লেট ইজারা,
1423257,Lease of buildings,ভবন ইজারা ,
1423299,Other leases ,অন্যান্য ইজারা,
1424,Imputed sales of goods and services,পণ্য ও সেবার আরোপিত বিক্রয়,
143,"Fines, penalties, and forfeits","জরিমানা, দণ্ড ও বাজেয়াপ্তকরণ",
1431,"Fines, penalties, and forfeits","জরিমানা, দণ্ড ও বাজেয়াপ্তকরণ",
14311,"Fines, penalties, and forfeits","জরিমানা, দণ্ড ও বাজেয়াপ্তকরণ",
1431101,Fines,জরিমানা,
1431102,Penalties,দণ্ড,
1431103,Forfeiture,বাজেয়াপ্তকরণ,
1431104,Sale of confiscated items,বাজেয়াপ্ত দ্রব্য বিক্রয়,
1431105,Forfeit Election deposit,বাজেয়াপ্ত নির্বাচনি জামানত,
144,Transfers not elsewhere classified,স্থানান্তর যা অন্যত্র শ্রেণিবদ্ধ নয়,
1441,Current transfers not elsewhere classified,আবর্তক স্থানান্তর যা অন্যত্র শ্রেণিবদ্ধ নয়,
14411,Subsidies,ভরতুকি,
1441101,Receipt from food subsidy,খাদ্য ভরতুকি হতে প্রাপ্তি,
14412,Other current transfers not elsewhere classified,অন্যান্য আবর্তক স্থানান্তর যা অন্যত্র শ্রেণিবদ্ধ নয়,
1441201,Gifts/ donations /subscriptions from non government residents,বেসরকারি নিবাসী থেকে প্রাপ্ত উপহার/ দান/চাঁদা,
1441202,Recovery of over payment from prior years,পূর্ববর্তী অর্থবছরের অতিরিক্ত গৃহীত অর্থ ফেরত,
1441203,Premium on treasury bond issuance,ট্রেজারি বন্ড ইস্যুতে প্রিমিয়াম বাবদ ব্যয়,
1441204,Municipal tax payable by government employee living in govt accommodation,সরকারি আবাসনে বসবাসকারী সরকারি কর্মচারী কর্তৃক দেয় পৌরকর,
1441205,Leave salary contribution,ছুটির বেতন বাবদ চাঁদা,
1441206,Pension and gratuity contribution,অবসর ভাতা ও আনুতোষিক বাবদ চাঁদা,
1441207,Gain/loss in currency exchange rate,মুদ্রা বিনিময় হারের পরিবর্তনজনিত লাভ/ক্ষতি,
1441208,Scrap,স্ক্র্যাপ,
1441209,Salami,সালামী,
1441299,Other receipts,অন্যান্য আদায়,
1442,Capital transfers not elsewhere classified,মূলধন স্থানান্তর যা অন্যত্র শ্রেণিবদ্ধ নয়,
145,"Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes","অজীবনবিমা ও প্রমিত গ্যারান্টি স্কিম সম্পর্কিত প্রিমিয়াম, ফি ও দাবি",
1451,"Premiums, fees, and current claims","প্রিমিয়াম, ফি, ও চলতি দাবি",
14511,Premiums,প্রিমিয়াম,
14512,Fees for standardized guarantee schemes,প্রমিত গ্যারান্টি স্কিমের জন্য ফি,
14513,Current claims,চলতি দাবি,
1452,Capital claims,মূলধন দাবি,
